name,phone,age,company,country,salary,balance,
Jennifer,087731541,30,ASML Holding,Trinidad and Tobago,11201.04,2284.18,
Jerry,042425186,51,Johnson & Johnson,Nigeria,2181.79,-4107.47,
Jessica,097184348,69,The Home Depot,Nauru,11770.63,7934.85,
John,076676554,26,Apple,Eswatini,15518.04,-31.87,
Jonathan,041468920,68,Thermo Fisher Scientific,Seychelles,17013.94,6797.04,
Joseph,093092696,64,Saudi Aramco,Mali,5678.25,-7280.02,
Joshua,096066756,19,AstraZeneca,Uruguay,4494.28,557.99,
Justin,025388710,22,BHP Group,Costa Rica,16128.52,1009.09,
Karen,065382699,54,Roche,Pakistan,18905.72,4307.46,
Katherine,011320279,32,Shell,Jamaica,8604.97,-8654.79,
Kathleen,097091539,56,PepsiCo,Central African Republic,18129.78,-4041.13,
Kenneth,056680546,29,Microsoft,Trinidad and Tobago,2816.52,-5787.97,
Kevin,036283826,58,Walmart,Serbia,3800.38,6476.20,
Kimberly,040058991,35,Shell,Micronesia,12444.52,4690.76,
Larry,055061443,68,L'Oreal,Gabon,1292.69,-1477.81,
Laura,004647147,66,Pfizer,Dominican Republic,18814.28,3921.39,
Linda,047244661,48,ICBC,Indonesia,15399.81,8815.00,
Lisa,009356538,18,Reliance Industries,Netherlands,8121.53,6002.95,
Margaret,061627718,22,TotalEnergies,Panama,2720.13,9891.61,
Mark,013185562,54,Taiwan Semiconductor Manufacturing Company,Panama,1709.05,6279.66,
Mary,017882186,67,Berkshire Hathaway,Panama,6443.92,4586.84,
Matthew,070209651,19,Chevron,Kosovo,3749.81,4421.09,
Melissa,074496434,28,The Home Depot,Brunei,13853.23,-135.86,
Michael,092295803,22,JPMorgan Chase,Burkina Faso,19812.48,-9914.61,
Michelle,065024212,25,Toyota Motor Corp,Saudi Arabia,18734.92,-3584.28,
Nancy,076543096,46,Broadcom,Mauritania,2840.41,660.46,
Nicholas,018057238,39,Mastercard,South Africa,4472.83,5573.89,
Nicole,076582346,51,Samsung Electronics,Mexico,14430.03,2592.15,
Pamela,054100687,50,ICBC,Republic of Korea,2648.02,-5237.95,
Patricia,088854852,66,ICBC,Burundi,11468.05,1813.34,
Patrick,054999858,61,SAP SE,Netherlands,17728.39,6049.95,
Paul,059601374,21,Toyota Motor Corp,Bulgaria,2674.14,-417.14,
Rachel,086184214,20,LVMH,Timor-Leste,19041.84,7372.49,
Raymond,042214409,43,Amazon,Bulgaria,7058.79,5089.08,
Rebecca,045737923,63,Apple,Denmark,11222.07,1077.72,
Richard,024916025,22,Meta Platforms,Vanuatu,10684.35,6325.42,
Robert,031212645,30,Merck & Co.,Jordan,12704.90,-6642.69,
Ronald,000922449,56,Nestle,Sri Lanka,13814.96,-7827.37,
Ruth,067132692,40,Novo Nordisk,Guinea,7649.62,-931.84,
Ryan,009668871,30,Roche,Chad,19398.39,3828.55,
Samantha,059948593,57,Tesla,India,4815.96,-6563.62,
Samuel,050542953,30,Procter & Gamble,Gambia,10651.84,8683.98,
Sandra,007427279,65,Mastercard,Croatia,12147.14,5470.88,
Sarah,067028599,35,TotalEnergies,Japan,17265.98,-9253.97,
Scott,077907959,39,SAP SE,Burma,18830.29,4208.24,
Sharon,055286217,54,Samsung Electronics,Jamaica,5888.97,2996.67,
Shirley,043971073,52,Toyota Motor Corp,Belize,5135.46,-2972.26,
Stephanie,025023315,19,Reliance Industries,Romania,16205.29,3976.65,
Stephen,016073322,29,Bank of America,Slovenia,7361.64,-3019.94,
Steven,051443596,53,Intel,Afghanistan,8085.42,-7125.94,
Susan,077034746,21,LVMH,Cote d’Ivoire,6116.17,9930.62,
Thomas,099796418,65,ASML Holding,South Sudan,8522.37,6242.32,
,,,,,,,
,,,,,,,
,,,,,,,
